Date,Open,Close
19/12/2022,16759.04102,16439.67969
20/12/2022,16441.78711,16906.30469
21/12/2022,16904.52734,16817.53516
22/12/2022,16818.38086,16830.3418
23/12/2022,16829.64453,16796.95313
24/12/2022,16796.97656,16847.75586
25/12/2022,16847.50586,16841.98633
26/12/2022,16842.25,16919.80469
27/12/2022,16919.29102,16717.17383
28/12/2022,16716.40039,16552.57227
29/12/2022,16552.32227,16642.3418
30/12/2022,16641.33008,16602.58594
31/12/2022,16603.67383,16547.49609
1/1/2023,16547.91406,16625.08008
2/1/2023,16625.50977,16688.4707
3/1/2023,16688.84766,16679.85742
4/1/2023,16680.20508,16863.23828
5/1/2023,16863.47266,16836.73633
6/1/2023,16836.47266,16951.96875
7/1/2023,16952.11719,16955.07813
8/1/2023,16954.14648,17091.14453
9/1/2023,17093.99219,17196.55469
10/1/2023,17192.94922,17446.29297
11/1/2023,17446.35938,17934.89648
12/1/2023,18117.59375,18869.58789
13/1/2023,18868.90625,19909.57422
14/1/2023,19910.53711,20976.29883
15/1/2023,20977.48438,20880.79883
16/1/2023,20882.22461,21169.63281
17/1/2023,21175.83398,21161.51953
18/1/2023,21161.05078,20688.78125
19/1/2023,20686.74609,21086.79297
20/1/2023,21085.37305,22676.55273
21/1/2023,22677.42773,22777.625
22/1/2023,22777.98633,22720.41602
23/1/2023,22721.08789,22934.43164
24/1/2023,22929.62695,22636.46875
25/1/2023,22639.26758,23117.85938
26/1/2023,23108.95508,23032.77734
27/1/2023,23030.7168,23078.72852
28/1/2023,23079.96484,23031.08984
29/1/2023,23031.44922,23774.56641
30/1/2023,23774.64844,22840.13867
31/1/2023,22840.79688,23139.2832
1/2/2023,23137.83594,23723.76953
2/2/2023,23720.82422,23471.87109
3/2/2023,23469.41211,23449.32227
4/2/2023,23446.32031,23331.84766
5/2/2023,23332.24805,22955.66602
6/2/2023,22954.02148,22760.10938
7/2/2023,22757.26758,23264.29102
8/2/2023,23263.41602,22939.39844
9/2/2023,22946.56641,21819.03906
10/2/2023,21819.00586,21651.18359
11/2/2023,21651.8418,21870.875
12/2/2023,21870.90234,21788.20313
13/2/2023,21787,21808.10156
14/2/2023,21801.82227,22220.80469
15/2/2023,22220.58594,24307.8418
16/2/2023,24307.34961,23623.47461
